JJSF
PLXS
HNGR
ORCL
MSFT
TROW
HON
AMRC
RGEN
BWXT
PTVCB
INDB
HVT
TMP
BCPC
DJCO
ASTE
WERN
SKYW
FRPH
AMWD
ADM
VIVO
CLFD
WTS
FNB
EHC
FISV
FCNCA
HTLD
OSUR
CAL
BC
UIS
WSFS
ITIC
CERN
WBS
MKL
AXGN
FLIC
FBP
AVD
PLAB
CRMT
ARGO
OFG
CATO
FBNC
WSBC
KO
SAFM
CNBKA
UBSI
ENV
WASH
CDNS
ED
CHCO
EBIX
CECE
FICO
CNMD
HBNC
EPAC
ATRI
XRAY
FAST
CPF
HRTX
CRK
GDOT
DTE
MATX
IMKTA
AIN
IIVI
ETN
JOUT
SIVB
ALCO
MITK
CLH
CYBE
CTBI
XOM
IPAR
MGM
MXIM
WM
KKR
TCF
COKE
DY
QUAD
GATX
GORO
GD
GE
LH
ONB
WSR
PBCT
SIG
COR
FRBK
HIFS
LNN
MGPI
CDMO
AMRS
CHTR
EFC
LYB
PACB
VRA
BAH
GM
HHC
CMRE
LPLA
ZGNX
FRC
FLT
INFU
KNX
TRGP
WD
ACNB
IBM
QADA
ASMB
NAV
AAT
BKU
IBIO
NLSN
KMI
NPTN
INN
ITT
ACRX
FLDM
PCRX
USCR
APO
FF
HCA
HII
CSOD
AL
KSU
APTS
STAG
RLJ
ECOL
SR
THR
KOS
SAVE
WIFI
MPC
AMCX
SXC
CHEF
HZNP
ZG
FBHS
VER
FMNB
LCNB
XYL
UI
VAC
APTV
ACHC
CLVS
GRPN
BCEI
CPRI
FBIO
TRIP
ZNGA
GWRE
POST
RLGT
REGI
VSTM
EPAM
MTDR
PRLB
SLCA
BCOV
CCXI
HMST
ALSN
RM
NL
RXN
VCRA
YELP
CSTE
ENPH
GALT
MTSI
HEAR
ACRE
MRC
PSX
RPAI
FRGI
PFPT
SPLK
TLYS
WMC
CG
FB
SUPN
ALEX
HTA
NOW
TROX
ANAT
NGVC
PANW
CHUY
FIVE
FSBW
HBMD
HTBI
